manufacturer,date,avg_price,tdp,units,sales,date_new,channel,SOM
OTHERS,JUNIO 2019,1.0733862476431664,259,11434.840000000015,12274,2019-06-01,TOTAL,6.767717425466335
OTHERS,JUNIO 2020,1.198010919337452,340,10288.170000000006,12325.340000000002,2020-06-01,TOTAL,7.891104355359695
OTHERS,JUNIO 2021,1.1406571955319385,401,12909.4,14725.200000000004,2021-06-01,TOTAL,8.160523773818294
OTHERS,JUNIO 2022,1.6582678333932668,277,8759.550000000003,14525.679999999995,2022-06-01,TOTAL,7.393730847506868
OTHERS,MARZO 2019,1.1076375590743086,245,10914.220000000001,12089,2019-03-01,TOTAL,6.498658768001806
OTHERS,MARZO 2020,1.1544781439638836,366,12652.339999999987,14606.84999999999,2020-03-01,TOTAL,8.319568341709651
OTHERS,MARZO 2021,1.186100556370129,357,11519.310000000007,13663.059999999998,2021-03-01,TOTAL,7.581922751184283
OTHERS,MARZO 2022,1.3403615389156072,326,10672.710000000006,14305.289999999997,2022-03-01,TOTAL,7.633035835056135
OTHERS,MARZO 2023,1.8653918146295867,331,9215.70999999999,17190.910000000007,2023-03-01,TOTAL,7.655844070245847
OTHERS,MAYO 2019,1.136820121076423,257,10629.649999999998,12084,2019-05-01,TOTAL,6.724278965204472
OTHERS,MAYO 2020,1.1282185259368913,346,9990.210000000005,11271.139999999996,2020-05-01,TOTAL,7.556249650131412
OTHERS,MAYO 2021,1.1225323050814553,378,12775.080000000005,14340.440000000006,2021-05-01,TOTAL,8.011724245582993
OTHERS,MAYO 2022,1.5976750718924904,283,8863.929999999998,14161.68,2022-05-01,TOTAL,7.390475037404624
OTHERS,NOVIEMBRE 2019,1.098604879161518,340,12362.370000000024,13581.360000000002,2019-11-01,TOTAL,7.800397366900095
OTHERS,NOVIEMBRE 2020,1.142634605789815,346,11644.930000000008,13305.899999999998,2020-11-01,TOTAL,7.765564789756518
OTHERS,NOVIEMBRE 2021,1.259170724809244,337,11809.590000000007,14870.290000000008,2021-11-01,TOTAL,8.203891018039995
OTHERS,NOVIEMBRE 2022,1.8069017522879527,292,7877.130000000003,14233.200000000004,2022-11-01,TOTAL,6.801521554446722
OTHERS,OCTUBRE 2019,1.1354178283255476,334,11657.179999999997,13235.770000000002,2019-10-01,TOTAL,7.633819677694489
OTHERS,OCTUBRE 2020,1.1576266380806035,356,11328.200000000012,13032.120000000003,2020-10-01,TOTAL,7.793550788461828
OTHERS,OCTUBRE 2021,1.2191905736484754,334,11755.98,14332.780000000002,2021-10-01,TOTAL,8.214649513128542
OTHERS,OCTUBRE 2022,1.7990741591591803,289,8379.409999999993,15075.180000000013,2022-10-01,TOTAL,6.966498727144617
OTHERS,SEPTIEMBRE 2019,1.0922803743632021,285,11606.910000000003,12678,2019-09-01,TOTAL,7.146440590068939
OTHERS,SEPTIEMBRE 2020,1.1748608870277517,349,11255.770000000008,13143.329999999998,2020-09-01,TOTAL,8.087159460099208
OTHERS,SEPTIEMBRE 2021,1.2529605980984735,358,11273.060000000012,14124.699999999993,2021-09-01,TOTAL,8.25895487065032
OTHERS,SEPTIEMBRE 2022,1.6882700241092956,308,9332.5,15755.78,2022-09-01,TOTAL,7.27861774550491
PEPSICO,ABRIL 2019,1.612622812560651,1103,56368.41999999997,90901,2019-04-01,TOTAL,50.14867899129993
PEPSICO,ABRIL 2020,1.6968810637783323,1579,47263.23000000001,80200.08,2020-04-01,TOTAL,49.73730727820424
PEPSICO,ABRIL 2021,1.7111651927378742,1630,53528.140000000036,91595.48999999998,2021-04-01,TOTAL,49.91417445437877
PEPSICO,ABRIL 2022,1.7623317857205316,1524,54309.450000000026,95711.26999999997,2022-04-01,TOTAL,49.65781132274388
PEPSICO,AGOSTO 2019,1.6076121676078556,979,55647.74999999998,89460,2019-08-01,TOTAL,49.84093910001059
PEPSICO,AGOSTO 2020,1.6739264217939789,1617,48797.330000000016,81683.14,2020-08-01,TOTAL,50.39246372906183
PEPSICO,AGOSTO 2021,1.7169140379902794,1545,52657.68,90408.70999999998,2021-08-01,TOTAL,49.80638805652105
PEPSICO,AGOSTO 2022,1.8598628843235974,1561,57780.40999999998,107463.64,2022-08-01,TOTAL,51.427633180543985
PEPSICO,DICIEMBRE 2019,1.7433942842208656,1543,53644.83000000002,93524.09000000005,2019-12-01,TOTAL,49.18580592956504
PEPSICO,DICIEMBRE 2020,1.7955573049756433,1641,49946.709999999985,89682.17999999998,2020-12-01,TOTAL,48.982135227277745
PEPSICO,DICIEMBRE 2021,1.804478459437191,1517,56390.81999999999,101756.01999999993,2021-12-01,TOTAL,49.227564818466
PEPSICO,DICIEMBRE 2022,2.171856526850421,1581,56847.709999999985,123465.06999999992,2022-12-01,TOTAL,49.981685739433395
PEPSICO,ENERO 2019,1.6306681577960473,1224,59570.060000000005,97139,2019-01-01,TOTAL,50.501169742656614
PEPSICO,ENERO 2020,1.7617901118843708,1576,52540.85000000001,92565.94999999997,2020-01-01,TOTAL,48.59739431599285
PEPSICO,ENERO 2021,1.7695448764060857,1634,54618.79,96650.39999999995,2021-01-01,TOTAL,49.729063906342
PEPSICO,ENERO 2022,1.8054612357500948,1501,53915.269999999975,97341.92999999996,2022-01-01,TOTAL,49.68649991886672
PEPSICO,ENERO 2023,2.1817250227355176,1612,52978.77999999999,115585.12999999998,2023-01-01,TOTAL,49.705179404168085
PEPSICO,FEBRERO 2019,1.5822212847752355,1201,53668.220000000016,84915,2019-02-01,TOTAL,50.451547739290596
PEPSICO,FEBRERO 2020,1.6560632490515281,1585,50665.740000000005,83905.66999999998,2020-02-01,TOTAL,47.95567731702287
PEPSICO,FEBRERO 2021,1.6926669459985704,1604,50716.25,85845.72,2021-02-01,TOTAL,50.953818759181495
PEPSICO,FEBRERO 2022,1.7475409950141425,1517,51734.34000000002,90407.87999999999,2022-02-01,TOTAL,50.396784341077115
PEPSICO,FEBRERO 2023,2.099458441946661,1628,50212.52999999999,105419.11999999995,2023-02-01,TOTAL,49.70290924749157
PEPSICO,JULIO 2019,1.585446187491792,1018,57412.85999999999,91025,2019-07-01,TOTAL,50.05884423326514
PEPSICO,JULIO 2020,1.6806574668950587,1585,47625.81999999999,80042.69000000002,2020-07-01,TOTAL,50.787003963778496
PEPSICO,JULIO 2021,1.7054848510709382,1556,54487.34999999997,92927.35000000003,2021-07-01,TOTAL,49.61616718407488
PEPSICO,JULIO 2022,1.8191992414329654,1572,55873.77000000004,101645.52000000005,2022-07-01,TOTAL,50.524857859332705
PEPSICO,JUNIO 2019,1.5768697597808545,1060,57269.79,90307,2019-06-01,TOTAL,49.79405715672058
PEPSICO,JUNIO 2020,1.6842489035542254,1572,48246.80000000002,81259.62000000004,2020-06-01,TOTAL,52.02518886269052
PEPSICO,JUNIO 2021,1.6889167934249487,1582,53316.70000000002,90047.47,2021-06-01,TOTAL,49.9031945037887
PEPSICO,JUNIO 2022,1.7516483563308127,1541,56324.29000000001,98660.35000000005,2022-06-01,TOTAL,50.219203040465224
PEPSICO,MARZO 2019,1.56497883297576,1170,60537.559999999976,94740,2019-03-01,TOTAL,50.92918617590298
PEPSICO,MARZO 2020,1.695473877554046,1572,49919.329999999994,84636.92000000001,2020-03-01,TOTAL,48.20633060323158
PEPSICO,MARZO 2021,1.7034487478692533,1587,52892.240000000005,90099.22000000003,2021-03-01,TOTAL,49.99797453732607
PEPSICO,MARZO 2022,1.7101819834445264,1508,55536.92,94978.23999999999,2022-03-01,TOTAL,50.67861675440079
PEPSICO,MARZO 2023,2.144737119684172,1638,51668.56999999999,110815.5,2023-03-01,TOTAL,49.35085976055533
PEPSICO,MAYO 2019,1.5739626234603008,1081,57416.229999999974,90371,2019-05-01,TOTAL,50.28796874913053
PEPSICO,MAYO 2020,1.6847864028380162,1574,44634.019999999975,75198.79000000002,2020-05-01,TOTAL,50.413785174153276
PEPSICO,MAYO 2021,1.689321063755339,1601,53186.290000000015,89848.71999999999,2021-05-01,TOTAL,50.196728165844085
PEPSICO,MAYO 2022,1.7253797031443046,1534,55249.740000000005,95326.78000000001,2022-05-01,TOTAL,49.747642086684806
