Month,Channel,Manufacturer,Model Selected,Training Period,Training Error (Units WAPE in %),Testing Period,Testing Error (Units WAPE in %)
Oct-22,OT,KELLOGGS,ConstrainedRegression,Jan 19 - May 22,3.18,Jun 22 - Oct 22,3.35
Oct-22,TRADITIONAL,KELLOGGS,ConstrainedRegression,Jan 19 - May 22,3.24,Jun 22 - Oct 22,2.7
Oct-22,OT,OTHERS,ConstrainedRegression,Jan 19 - May 22,2.5,Jun 22 - Oct 22,3.08
Oct-22,TRADITIONAL,OTHERS,ConstrainedRegression,Jan 19 - May 22,1.31,Jun 22 - Oct 22,3.37
Oct-22,OT,PEPSICO,ConstrainedRegression,Jan 19 - May 22,2.9,Jun 22 - Oct 22,2.31
Oct-22,TRADITIONAL,PEPSICO,ConstrainedRegression,Jan 19 - May 22,0.52,Jun 22 - Oct 22,0.56
Oct-22,OT,SEÑORIAL,ConstrainedRegression,Jan 19 - May 22,6.1,Jun 22 - Oct 22,8.99
Oct-22,TRADITIONAL,SEÑORIAL,ConstrainedRegression,Jan 19 - May 22,1.48,Jun 22 - Oct 22,0.56
Nov-22,OT,BIMBO,ConstrainedRegression,Jan 19 - Jul 22,48.94,Aug 22 - Nov 22,7.4
Nov-22,TRADITIONAL,BIMBO,ConstrainedRegression,Jan 19 - Jul 22,5.35,Aug 22 - Nov 22,3.27
Nov-22,OT,DIANA,ConstrainedRegression,Jan 19 - Jul 22,3.94,Aug 22 - Nov 22,1.15
Nov-22,TRADITIONAL,DIANA,ConstrainedRegression,Jan 19 - Jul 22,1.68,Aug 22 - Nov 22,1.67
Nov-22,OT,DINANT,ConstrainedRegression,Jan 19 - Jul 22,4.48,Aug 22 - Nov 22,2.88
Nov-22,TRADITIONAL,DINANT,ConstrainedRegression,Jan 19 - Jul 22,3.08,Aug 22 - Nov 22,2.58
Nov-22,OT,KELLOGGS,ConstrainedRegression,Jan 19 - Jul 22,3.17,Aug 22 - Nov 22,4.42
Nov-22,TRADITIONAL,KELLOGGS,ConstrainedRegression,Jan 19 - Jul 22,3.26,Aug 22 - Nov 22,2.23
Nov-22,OT,OTHERS,ConstrainedRegression,Jan 19 - Jul 22,2.44,Aug 22 - Nov 22,2.84
Nov-22,TRADITIONAL,OTHERS,ConstrainedRegression,Jan 19 - Jul 22,1.05,Aug 22 - Nov 22,2.24
Nov-22,OT,PEPSICO,ConstrainedRegression,Jan 19 - Jul 22,2.85,Aug 22 - Nov 22,2.32
Nov-22,TRADITIONAL,PEPSICO,ConstrainedRegression,Jan 19 - Jul 22,0.52,Aug 22 - Nov 22,1.0
Nov-22,OT,SEÑORIAL,ConstrainedRegression,Jan 19 - Jul 22,7.0,Aug 22 - Nov 22,16.15
Nov-22,TRADITIONAL,SEÑORIAL,ConstrainedRegression,Jan 19 - Jul 22,1.47,Aug 22 - Nov 22,0.22
Dec-22,OT,BIMBO,ConstrainedRegression,Jan 19 - Sep 22,44.54,Oct 22 - Dec 22,9.26
Dec-22,TRADITIONAL,BIMBO,ConstrainedRegression,Jan 19 - Sep 22,5.07,Oct 22 - Dec 22,3.62
Dec-22,OT,DIANA,ConstrainedRegression,Jan 19 - Sep 22,3.77,Oct 22 - Dec 22,5.42
Dec-22,TRADITIONAL,DIANA,ConstrainedRegression,Jan 19 - Sep 22,2.05,Oct 22 - Dec 22,0.5
Dec-22,OT,DINANT,ConstrainedRegression,Jan 19 - Sep 22,4.42,Oct 22 - Dec 22,5.29
Dec-22,TRADITIONAL,DINANT,ConstrainedRegression,Jan 19 - Sep 22,2.99,Oct 22 - Dec 22,2.49
Dec-22,OT,KELLOGGS,ConstrainedRegression,Jan 19 - Sep 22,5.4,Oct 22 - Dec 22,8.17
Dec-22,TRADITIONAL,KELLOGGS,ConstrainedRegression,Jan 19 - Sep 22,3.01,Oct 22 - Dec 22,2.54
Dec-22,OT,OTHERS,ConstrainedRegression,Jan 19 - Sep 22,3.16,Oct 22 - Dec 22,2.79
Dec-22,TRADITIONAL,OTHERS,ConstrainedRegression,Jan 19 - Sep 22,1.33,Oct 22 - Dec 22,0.93
Dec-22,OT,PEPSICO,ConstrainedRegression,Jan 19 - Sep 22,3.57,Oct 22 - Dec 22,6.34
Dec-22,TRADITIONAL,PEPSICO,ConstrainedRegression,Jan 19 - Sep 22,0.51,Oct 22 - Dec 22,1.8
Dec-22,OT,SEÑORIAL,ConstrainedRegression,Jan 19 - Sep 22,4.63,Oct 22 - Dec 22,8.99
Dec-22,TRADITIONAL,SEÑORIAL,ConstrainedRegression,Jan 19 - Sep 22,1.6,Oct 22 - Dec 22,0.65
Jan-23,OT,BIMBO,ConstrainedRegression,Jan 19 - Nov 22,34.88,Dec 22 - Jan 23,16.84
Jan-23,TRADITIONAL,BIMBO,ConstrainedRegression,Jan 19 - Nov 22,3.84,Dec 22 - Jan 23,5.53
Jan-23,OT,DIANA,ConstrainedRegression,Jan 19 - Nov 22,4.36,Dec 22 - Jan 23,5.95
Jan-23,TRADITIONAL,DIANA,ConstrainedRegression,Jan 19 - Nov 22,3.11,Dec 22 - Jan 23,0.66
Jan-23,OT,DINANT,ConstrainedRegression,Jan 19 - Nov 22,4.25,Dec 22 - Jan 23,11.12
Jan-23,TRADITIONAL,DINANT,ConstrainedRegression,Jan 19 - Nov 22,2.18,Dec 22 - Jan 23,2.77
Jan-23,OT,KELLOGGS,ConstrainedRegression,Jan 19 - Nov 22,4.39,Dec 22 - Jan 23,6.67
